favorite_count,retweet_count,texts,china,billion,products,democrats,great,dollars,tariffs,country,mueller,border,president,congressman,people,korea,party,years,farmers,going,trade,never,positive_count,negative_count,label
83333,24007,amazon washington post three lowlife reporter matt zapotosky josh dawsey carol leonnig wrote another fake news story without source pure fiction bill barr deny story knew wrote garbage newspaper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
65540,14962,thank #MAGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
132078,35482,explained next week fake hearing trial house interview never trumpers others get lawyer due process pelosi schiff scam republican party witch hunt allowed proceed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0
56313,15697,hunter biden money good question sleepy joe must testify,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
91488,25386,based information released last night fake whistleblower attorney impeachment hoax ended immediately case except side,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
96092,19956,read transcript,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64057,17018,degenerate washington post made story asking bill barr hold news conference never happened source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
86660,24019,bill barr decline request talk ukraine story fake washington post con job anonymous source doesnt exist read transcript justice department already ruled call good dont freedom press,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
167767,31250,stock market three hit another time historic high yesterday sooo lucky president kidding spend money well,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1
88784,22353,thank kurt volker u envoy ukraine said congressional testimony released asked conversation quid pro quo et cetra none didnt know quid pro quo witch hunt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
65906,15802,based thing ive seen democrat case weak case best dont think well founded article impeachment robert wray respected former prosecutor phony scam nothing dems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1
62839,12704,based kentucky result mitch mcconnell win big kentucky next year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
