time,texts,retweet_count,favorite_count,begin_time,end_time,close_x,close_y,label
2019-11-07 15:43:29,stock market big today new record enjoy,20211,114187,2019-11-07 15:43:00,2019-11-07 15:48:00,3080.94,3082.54,1
2019-11-07 15:41:53,radical left dems lamestream medium trying make hard republican win new impeachment hoax already turning,18328,72619,2019-11-07 15:41:00,2019-11-07 15:46:00,3082.59,3081.32,0
2019-11-07 15:27:57,amazon washington post three lowlife reporter matt zapotosky josh dawsey carol leonnig wrote another fake news story without source pure fiction bill barr deny story knew wrote garbage newspaper,24007,83333,2019-11-07 15:27:00,2019-11-07 15:32:00,3082.41,3083.63,1
2019-11-07 15:18:53,thank #MAGA,14962,65540,2019-11-07 15:18:00,2019-11-07 15:23:00,3082.46,3082.57,1
2019-11-07 15:16:15,explained next week fake hearing trial house interview never trumpers others get lawyer due process pelosi schiff scam republican party witch hunt allowed proceed,35482,132078,2019-11-07 15:16:00,2019-11-07 15:21:00,3084.2,3080.28,0
2019-11-07 14:51:38,hunter biden money good question sleepy joe must testify,15697,56313,2019-11-07 14:51:00,2019-11-07 14:56:00,3085.06,3086.73,1
2019-11-07 14:00:34,based information released last night fake whistleblower attorney impeachment hoax ended immediately case except side,25386,91488,2019-11-07 14:00:00,2019-11-07 14:05:00,3090.9,3092.27,1
2019-11-07 13:47:57,read transcript,19956,96092,2019-11-07 13:47:00,2019-11-07 13:52:00,3090.33,3090.98,1
2019-11-07 13:46:30,degenerate washington post made story asking bill barr hold news conference never happened source,17018,64057,2019-11-07 13:46:00,2019-11-07 13:51:00,3090.89,3091.19,1
2019-11-07 12:28:41,bill barr decline request talk ukraine story fake washington post con job anonymous source doesnt exist read transcript justice department already ruled call good dont freedom press,24019,86660,2019-11-07 12:28:00,2019-11-07 12:33:00,3093.23,3093.68,1
2019-11-06 13:30:06,stock market three hit another time historic high yesterday sooo lucky president kidding spend money well,31250,167767,2019-11-06 13:30:00,2019-11-06 13:35:00,3073.16,3072.24,0
2019-11-06 13:17:47,thank kurt volker u envoy ukraine said congressional testimony released asked conversation quid pro quo et cetra none didnt know quid pro quo witch hunt,22353,88784,2019-11-06 13:17:00,2019-11-06 13:22:00,3070.59,3072.06,1
2019-11-06 13:06:15,based thing ive seen democrat case weak case best dont think well founded article impeachment robert wray respected former prosecutor phony scam nothing dems,15802,65906,2019-11-06 13:06:00,2019-11-06 13:11:00,3069.28,3068.79,0
2019-11-06 12:51:44,based kentucky result mitch mcconnell win big kentucky next year,12704,62839,2019-11-06 12:51:00,2019-11-06 12:56:00,3068.99,3068.74,0
2019-11-05 14:05:24,sad see happening new york governor cuomo mayor deblasio letting criminal hardened bad onto sidewalk rapidly declining city radical left dems killing city nypd commissioner resigning,26942,94389,2019-11-05 14:05:00,2019-11-05 14:10:00,3078.05,3079.14,1
2019-11-05 13:59:03,find polling location,11310,34773,2019-11-05 13:59:00,2019-11-05 14:04:00,3078.13,3077.78,0
